weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
9.0,2015,6236,J.Myers,PK,JAC,a,NYJ,12.0,4600.0,2015110805,2015-11-08,00-0031492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,45,9,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,7.0
16.0,2015,6159,M.Prater,PK,DET,h,SF,14.0,4500.0,2015122705,2015-12-27,00-0023853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,38,12,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
2.0,2015,1254,A.Smith,QB,KC,h,DEN,7.14,6800.0,2015091700,2015-09-17,00-0023436,25,16,191,0,2,0,0,3,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,12.32
9.0,2015,5371,J.Langford,RB,CHI,a,SD,23.7,6400.0,2015110900,2015-11-09,00-0031569,0,0,0,0,0,0,0,18,72,1,16,1,1,1,3,70,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.1
6.0,2015,3547,M.Floyd,WR,SD,a,GB,12.0,5400.0,2015101809,2015-10-18,00-0022414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.2
4.0,2015,1155,M.Vick,QB,PIT,h,BAL,12.26,6700.0,2015100100,2015-10-01,00-0020245,26,19,124,1,0,0,0,9,33,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,0,0,1,QB,13.36
9.0,2015,2915,C.Thompson,RB,WAS,a,NE,3.1,5500.0,2015110802,2015-11-08,00-0030404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,13,0,0,0,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,4.1
4.0,2015,4650,M.Williams,TE,BAL,a,PIT,2.7,4700.0,2015100100,2015-10-01,00-0031558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.5
9.0,2015,4564,G.Celek,TE,SF,h,ATL,14.2,4500.0,2015110808,2015-11-08,00-0028903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.3
9.0,2015,5199,T.Austin,WR,STL,a,MIN,10.1,5700.0,2015110800,2015-11-08,00-0030525,0,0,0,0,0,0,0,8,66,0,22,0,0,0,4,15,0,10,0,0,0,0,0,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.4
11.0,2015,4368,G.Olsen,TE,CAR,h,WAS,12.9,6400.0,2015112206,2015-11-22,00-0025418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,1,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,12.2
12.0,2015,4534,J.Thomas,TE,JAC,h,SD,22.1,5300.0,2015112906,2015-11-29,00-0028067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,116,1,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,10.1
3.0,2015,6071,M.Bryant,PK,ATL,a,DAL,7.0,4800.0,2015092700,2015-09-27,00-0020578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,3,4,0,4,0,4,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
11.0,2015,3902,E.Decker,WR,NYJ,a,HOU,10.1,7000.0,2015112203,2015-11-22,00-0027690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.7
14.0,2015,3891,D.Bryant,WR,DAL,a,GB,1.4,7400.0,2015121312,2015-12-13,00-0027902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.4
16.0,2015,4602,A.Seferian-Jenkins,TE,TB,h,CHI,13.0,5500.0,2015122708,2015-12-27,00-0031418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,1,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.7
9.0,2015,4573,J.Reed,TE,WAS,a,NE,9.3,5700.0,2015110802,2015-11-08,00-0030472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,5.6
1.0,2015,6048,S.Janikowski,PK,OAK,h,CIN,1.0,4700.0,2015091310,2015-09-13,00-0019646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
15.0,2015,1467,A.McCarron,QB,CIN,a,SF,11.88,6000.0,2015122012,2015-12-20,00-0031288,21,15,192,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.42
2.0,2015,2721,L.Blount,RB,NE,a,BUF,0.4,6400.0,2015092001,2015-09-20,00-0027325,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,12.2
15.0,2015,3754,P.Garcon,WR,WAS,h,BUF,10.9,5600.0,2015122007,2015-12-20,00-0026345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.7
2.0,2015,4292,B.Watson,TE,NO,h,TB,2.2,4500.0,2015092008,2015-09-20,00-0022943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,2.4
4.0,2015,4335,O.Daniels,TE,DEN,h,MIN,7.9,4600.0,2015100411,2015-10-04,00-0024313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.3
2.0,2015,2933,C.Hyde,RB,SF,a,PIT,8.1,7000.0,2015092009,2015-09-20,00-0031045,0,0,0,0,0,0,0,14,43,0,10,0,0,0,4,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,-3,1,1,RB,13.7
11.0,2015,5217,R.Woods,WR,BUF,a,NE,6.4,5100.0,2015112300,2015-11-23,00-0030431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.4
1.0,2015,1409,A.Luck,QB,IND,a,BUF,19.72,9200.0,2015091304,2015-09-13,00-0029668,49,26,243,2,2,2,1,4,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,18.52
3.0,2015,4433,J.Phillips,TE,SD,a,MIN,5.5,4500.0,2015092704,2015-09-27,00-0027139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,2.5
8.0,2015,6169,R.Succop,PK,TEN,a,HOU,7.0,4500.0,2015110103,2015-11-01,00-0026968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,44,6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,K,5.0
1.0,2015,1252,A.Rodgers,QB,GB,a,CHI,23.06,9700.0,2015091300,2015-09-13,00-0023459,23,18,189,3,0,0,0,8,35,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,18.8
4.0,2015,5113,T.Smith,WR,SF,h,GB,6.4,6200.0,2015100409,2015-10-04,00-0027996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.7
13.0,2015,3946,B.LaFell,WR,NE,h,PHI,4.7,6600.0,2015120612,2015-12-06,00-0027681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.8
14.0,2015,5344,D.Moncrief,WR,IND,a,JAC,6.7,6100.0,2015121304,2015-12-13,00-0031339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.4
13.0,2015,6233,J.Lambo,PK,SD,h,DEN,5.0,4700.0,2015120611,2015-12-06,00-0032087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,51,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
9.0,2015,3627,B.Marshall,WR,NYJ,h,JAC,12.4,8100.0,2015110805,2015-11-08,00-0024334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,1,WR,13.7
2.0,2015,2928,J.Hill,RB,CIN,h,SD,0.6,8400.0,2015092002,2015-09-20,00-0031301,0,0,0,0,0,0,0,10,39,0,9,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,0,-7,2,1,RB,15.7
1.0,2015,3501,L.Fitzgerald,WR,ARI,h,NO,11.7,6000.0,2015091307,2015-09-13,00-0022921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,87,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,6.2
1.0,2015,5335,J.Landry,WR,MIA,a,WAS,16.7,6900.0,2015091303,2015-09-13,00-0031382,0,0,0,0,0,0,0,1,14,0,14,0,0,0,8,53,0,20,0,0,0,0,0,0,0,0,2,37,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,6.5
7.0,2015,6098,S.Gostkowski,PK,NE,h,NYJ,13.0,5100.0,2015102503,2015-10-25,00-0024333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,46,9,3,0,3,0,3,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
6.0,2015,4629,R.Rodgers,TE,GB,h,SD,4.4,5100.0,2015101809,2015-10-18,00-0031384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,9.6
11.0,2015,2931,C.Sims,RB,TB,a,PHI,14.4,5200.0,2015112204,2015-11-22,00-0031390,0,0,0,0,0,0,0,10,43,0,17,0,0,0,3,26,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,4.9
1.0,2015,6230,C.Parkey,PK,PHI,a,ATL,6.0,5000.0,2015091400,2015-09-14,00-0030850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,29,3,3,0,3,0,3,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
16.0,2015,2613,M.Forte,RB,CHI,a,TB,9.2,8100.0,2015122708,2015-12-27,00-0026184,0,0,0,0,0,0,0,11,54,0,16,0,0,0,3,23,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,14.4
14.0,2015,1254,A.Smith,QB,KC,h,SD,14.64,6800.0,2015121305,2015-12-13,00-0023436,23,15,191,1,1,0,0,5,40,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,0,0,1,QB,17.12
6.0,2015,2642,J.Forsett,RB,BAL,a,SF,13.6,7600.0,2015101810,2015-10-18,00-0026373,0,0,0,0,0,0,0,17,62,0,22,0,0,0,7,39,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,14.3
10.0,2015,2658,R.Jennings,RB,NYG,h,NE,6.1,5300.0,2015111509,2015-11-15,00-0027155,0,0,0,0,0,0,0,11,39,0,6,0,0,0,2,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,4.8
15.0,2015,1438,J.Manziel,QB,CLE,a,SEA,11.14,6200.0,2015122008,2015-12-20,00-0031409,32,19,161,1,1,0,0,2,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,QB,17.12
1.0,2015,2892,A.Ellington,RB,ARI,h,NO,12.1,7900.0,2015091307,2015-09-13,00-0030287,0,0,0,0,0,0,0,12,69,1,18,1,0,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,RB,7.6
5.0,2015,2603,D.McFadden,RB,DAL,h,NE,12.3,6000.0,2015101109,2015-10-11,00-0026144,0,0,0,0,0,0,0,5,16,0,7,0,0,0,9,62,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,4.9
4.0,2015,3902,E.Decker,WR,NYJ,a,MIA,12.6,6000.0,2015100400,2015-10-04,00-0027690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,1,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.1
4.0,2015,1081,P.Manning,QB,DEN,h,MIN,10.32,8200.0,2015100411,2015-10-04,00-0010346,27,17,213,1,2,0,0,2,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,17.6
7.0,2015,4437,J.Cook,TE,STL,h,CLE,0.9,5200.0,2015102501,2015-10-25,00-0027061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,TE,3.4
16.0,2015,5424,S.Diggs,WR,MIN,h,NYG,3.9,6000.0,2015122706,2015-12-27,00-0031588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.0
15.0,2015,6211,C.Sturgis,PK,PHI,h,ARI,5.0,4700.0,2015122001,2015-12-20,00-0030390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36,3,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
6.0,2015,6229,C.Catanzaro,PK,ARI,a,PIT,7.0,4800.0,2015101802,2015-10-18,00-0030896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,39,6,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
4.0,2015,6096,R.Gould,PK,CHI,h,OAK,13.0,4600.0,2015100401,2015-10-04,00-0023252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,54,9,1,0,1,1,1,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
6.0,2015,2777,J.Starks,RB,GB,h,SD,24.2,5400.0,2015101809,2015-10-18,00-0027791,0,0,0,0,0,0,0,10,112,1,65,65,0,0,1,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,3.5
16.0,2015,6093,M.Nugent,PK,CIN,a,DEN,7.0,4800.0,2015122800,2015-12-28,00-0023482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,52,3,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,5.0
11.0,2015,3830,J.Maclin,WR,KC,a,SD,4.4,6300.0,2015112211,2015-11-22,00-0026995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,10,0,0,0,0,0,0,0,0,2,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,6.9
16.0,2015,4335,O.Daniels,TE,DEN,h,CIN,9.5,5000.0,2015122800,2015-12-28,00-0024313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.3
15.0,2015,2930,D.Freeman,RB,ATL,a,JAC,19.6,8400.0,2015122003,2015-12-20,00-0031285,0,0,0,0,0,0,0,25,56,1,21,5,0,0,7,45,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,15.4
14.0,2015,1241,M.Cassel,QB,DAL,a,GB,4.16,6200.0,2015121312,2015-12-13,00-0023662,29,13,114,0,1,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,15.66
15.0,2015,1442,B.Bortles,QB,JAC,h,ATL,25.28,7900.0,2015122003,2015-12-20,00-0031407,38,23,297,1,1,0,0,6,44,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,QB,18.68
11.0,2015,2689,D.Woodhead,RB,SD,h,KC,2.1,6400.0,2015112211,2015-11-22,00-0026019,0,0,0,0,0,0,0,6,7,0,5,0,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,13.0
11.0,2015,2777,J.Starks,RB,GB,a,MIN,4.9,6200.0,2015112205,2015-11-22,00-0027791,0,0,0,0,0,0,0,8,14,0,9,0,0,0,1,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,13.5
10.0,2015,5206,D.Hopkins,WR,HOU,a,CIN,14.2,8900.0,2015111600,2015-11-16,00-0030564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,15.3
11.0,2015,5252,S.Watkins,WR,BUF,a,NE,5.4,6600.0,2015112300,2015-11-23,00-0031325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.5
